471 21244600 Nov  5 14:01:09 2015
472 21783298 Nov  5 14:01:10 2015
473 22443800 Nov  5 14:01:11 2015
474 22405100 Nov  5 14:01:12 2015
475 22293300 Nov  5 14:01:13 2015
476 22334002 Nov  5 14:01:14 2015
477 22367502 Nov  5 14:01:15 2015
478 22441098 Nov  5 14:01:16 2015
479 22686600 Nov  5 14:01:17 2015
480 22605300 Nov  5 14:01:18 2015
481 22702500 Nov  5 14:01:19 2015
482 22955000 Nov  5 14:01:19 2015
483 23056900 Nov  5 14:01:21 2015
484 23013198 Nov  5 14:01:21 2015
485 23055500 Nov  5 14:01:22 2015
486 22960300 Nov  5 14:01:23 2015
487 22911398 Nov  5 14:01:24 2015
488 22971898 Nov  5 14:01:25 2015
489 22987198 Nov  5 14:01:26 2015
490 22867600 Nov  5 14:01:27 2015
491 22791200 Nov  5 14:01:28 2015
492 22721700 Nov  5 14:01:29 2015
493 22854002 Nov  5 14:01:30 2015
494 22775500 Nov  5 14:01:31 2015
495 22877800 Nov  5 14:01:32 2015
496 22984400 Nov  5 14:01:33 2015
497 22994302 Nov  5 14:01:34 2015
498 23010600 Nov  5 14:01:35 2015
499 23036802 Nov  5 14:01:36 2015
500 23010600 Nov  5 14:01:37 2015
501 23049200 Nov  5 14:01:38 2015
502 23040400 Nov  5 14:01:39 2015
503 22922502 Nov  5 14:01:40 2015
504 22540898 Nov  5 14:01:41 2015
505 21374400 Nov  5 14:01:42 2015
506 20190200 Nov  5 14:01:43 2015
507 17711202 Nov  5 14:01:44 2015
508 12328100 Nov  5 14:01:45 2015
509 9781981 Nov  5 14:01:46 2015
510 8882080 Nov  5 14:01:47 2015
511 8356669.5 Nov  5 14:01:48 2015
512 8104130 Nov  5 14:01:49 2015
513 7897790.5 Nov  5 14:01:50 2015
514 7874250.5 Nov  5 14:01:51 2015
515 7879660 Nov  5 14:01:52 2015
516 7879070.5 Nov  5 14:01:53 2015
517 7879620 Nov  5 14:01:54 2015
518 7888830 Nov  5 14:01:55 2015
519 7891650 Nov  5 14:01:56 2015
520 7883390 Nov  5 14:01:57 2015
521 7885290 Nov  5 14:01:57 2015
522 7891930 Nov  5 14:01:58 2015
523 7890030.5 Nov  5 14:01:59 2015
524 7884240 Nov  5 14:02:00 2015
525 7872530.5 Nov  5 14:02:01 2015
526 7877090.5 Nov  5 14:02:02 2015
527 7878800.5 Nov  5 14:02:03 2015
528 7873590.5 Nov  5 14:02:04 2015
529 7861440 Nov  5 14:02:05 2015
530 7871750.5 Nov  5 14:02:06 2015
531 7864950 Nov  5 14:02:07 2015
532 7864930 Nov  5 14:02:08 2015
533 7860720 Nov  5 14:02:09 2015
534 7861740 Nov  5 14:02:10 2015
535 7862410 Nov  5 14:02:11 2015
536 7872790.5 Nov  5 14:02:12 2015
537 7855571 Nov  5 14:02:13 2015
538 7869710 Nov  5 14:02:14 2015
539 7872570.5 Nov  5 14:02:15 2015
540 7868530.5 Nov  5 14:02:16 2015
541 7870950 Nov  5 14:02:17 2015
542 7888860 Nov  5 14:02:18 2015
543 7882560.5 Nov  5 14:02:19 2015
544 7880990 Nov  5 14:02:20 2015
545 7883070 Nov  5 14:02:21 2015
546 7862530 Nov  5 14:02:22 2015
547 7865610 Nov  5 14:02:23 2015
548 7866570.5 Nov  5 14:02:24 2015
549 7863760 Nov  5 14:02:25 2015
550 7868530.5 Nov  5 14:02:26 2015
551 7871260 Nov  5 14:02:27 2015
552 7865890.5 Nov  5 14:02:28 2015
553 7867800 Nov  5 14:02:29 2015
554 7870300.5 Nov  5 14:02:30 2015
555 7870500.5 Nov  5 14:02:31 2015
556 7862850 Nov  5 14:02:32 2015
557 7859910 Nov  5 14:02:33 2015
558 7867500.5 Nov  5 14:02:34 2015
559 7861940 Nov  5 14:02:34 2015
560 7858010.5 Nov  5 14:02:35 2015
561 7863950 Nov  5 14:02:37 2015
562 7864720.5 Nov  5 14:02:37 2015
563 7862130 Nov  5 14:02:38 2015
564 7863170 Nov  5 14:02:39 2015
565 7861040 Nov  5 14:02:40 2015
566 7872270 Nov  5 14:02:41 2015
567 7865840.5 Nov  5 14:02:42 2015
568 7866470.5 Nov  5 14:02:43 2015
569 7869700 Nov  5 14:02:44 2015
570 7873960 Nov  5 14:02:45 2015
571 7874450.5 Nov  5 14:02:46 2015
572 7867500.5 Nov  5 14:02:47 2015
573 7866020 Nov  5 14:02:48 2015
574 7871030.5 Nov  5 14:02:49 2015
575 7872440.5 Nov  5 14:02:50 2015
576 7865000 Nov  5 14:02:51 2015
577 7870730.5 Nov  5 14:02:52 2015
578 7873260 Nov  5 14:02:53 2015
579 7870120.5 Nov  5 14:02:54 2015
580 7866440.5 Nov  5 14:02:55 2015
581 7869810 Nov  5 14:02:56 2015
582 7865890.5 Nov  5 14:02:57 2015
583 7870720.5 Nov  5 14:02:58 2015
584 7860320 Nov  5 14:02:59 2015
585 7858170.5 Nov  5 14:03:00 2015
586 7871860.5 Nov  5 14:03:01 2015
587 7866330 Nov  5 14:03:02 2015
588 7866600 Nov  5 14:03:03 2015
589 7867580.5 Nov  5 14:03:04 2015
590 7870350.5 Nov  5 14:03:05 2015
591 7873470.5 Nov  5 14:03:06 2015
592 7865800.5 Nov  5 14:03:07 2015
593 7864420.5 Nov  5 14:03:08 2015
594 7861130 Nov  5 14:03:09 2015
595 7865860.5 Nov  5 14:03:10 2015
596 7861890.5 Nov  5 14:03:11 2015
597 7863040 Nov  5 14:03:11 2015
598 7884410.5 Nov  5 14:03:12 2015
599 7972730 Nov  5 14:03:13 2015
600 7873220 Nov  5 14:03:14 2015
601 7871360.5 Nov  5 14:03:15 2015
602 7874700.5 Nov  5 14:03:16 2015
603 7872260 Nov  5 14:03:17 2015
604 7867340 Nov  5 14:03:18 2015
605 7861930 Nov  5 14:03:19 2015
606 7861770 Nov  5 14:03:20 2015
607 7861570.5 Nov  5 14:03:21 2015
608 7857980.5 Nov  5 14:03:22 2015
609 7868960 Nov  5 14:03:23 2015
610 7876370.5 Nov  5 14:03:24 2015
611 7877090.5 Nov  5 14:03:25 2015
612 7865740.5 Nov  5 14:03:26 2015
613 7869850 Nov  5 14:03:27 2015
614 7876490.5 Nov  5 14:03:28 2015
615 7872180.5 Nov  5 14:03:29 2015
616 7872310 Nov  5 14:03:30 2015
617 7864320.5 Nov  5 14:03:31 2015
618 7871160.5 Nov  5 14:03:32 2015
619 7871860.5 Nov  5 14:03:33 2015
620 7870530.5 Nov  5 14:03:34 2015
621 7872090.5 Nov  5 14:03:35 2015
622 7879380 Nov  5 14:03:36 2015
623 7879810.5 Nov  5 14:03:37 2015
624 7874640.5 Nov  5 14:03:38 2015
625 7871910 Nov  5 14:03:39 2015
626 7877180.5 Nov  5 14:03:40 2015
627 23620500 Nov  5 14:03:41 2015
628 40377504 Nov  5 14:03:42 2015
629 40386300 Nov  5 14:03:43 2015
630 40452600 Nov  5 14:03:44 2015
631 40449100 Nov  5 14:03:45 2015
632 40453400 Nov  5 14:03:46 2015
633 40456100 Nov  5 14:03:47 2015
634 40421800 Nov  5 14:03:47 2015
635 40462300 Nov  5 14:03:49 2015
636 40448304 Nov  5 14:03:49 2015
637 40455504 Nov  5 14:03:50 2015
638 40450000 Nov  5 14:03:51 2015
639 40468604 Nov  5 14:03:52 2015
640 40448204 Nov  5 14:03:53 2015
641 40448604 Nov  5 14:03:54 2015
642 40472496 Nov  5 14:03:55 2015
